chapter	I10CODE	I10NAME	FinalI11Code	FinalI11Name	FinalPostcoor	FinalPostcoDesc	FinalMaptype
4	E87.6	Hypokalemia	5C77	Hypokalaemia	NULL	NULL	1. full map by precoordination
5	F02.80	Dementia in other diseases classified elsewhere without behavioral disturbance	6D85.Y	Dementia due to other specified diseases classified elsewhere	NULL	NULL	1. full map by precoordination
5	F03.90	Unspecified dementia without behavioral disturbance	6D8Z	Dementia, unknown or unspecified cause	NULL	NULL	1. full map by precoordination
5	F05	Delirium due to known physiological condition	6D70.Y	Delirium, other specified cause	NULL	NULL	3. only partial map possible
5	F17.200	Nicotine dependence, unspecified, uncomplicated	6C4A.2Z	Nicotine dependence, unspecified	NULL	NULL	1. full map by precoordination
5	F17.210	Nicotine dependence, cigarettes, uncomplicated	6C4A.2Z	Nicotine dependence, unspecified	NULL		3. only partial map possible
5	F20.9	Schizophrenia, unspecified	6A20.Z	Schizophrenia, episode unspecified	NULL	NULL	1. full map by precoordination
5	F31.9	Bipolar disorder, unspecified	6A6Z	Bipolar or related disorders, unspecified	NULL		3. only partial map possible
5	F32.9	Major depressive disorder, single episode, unspecified	6A70.3	Single episode depressive disorder, severe, without psychotic symptoms	NULL		1. full map by precoordination
5	F41.1	Generalized anxiety disorder	6B00	Generalised anxiety disorder	NULL	NULL	1. full map by precoordination
5	F41.9	Anxiety disorder, unspecified	6B0Z	Anxiety or fear-related disorders, unspecified	NULL	NULL	3. only partial map possible
6	G20	Parkinson's disease	8A00.0Z	Parkinson disease, unspecified	NULL	NULL	1. full map by precoordination
6	G25.81	Restless legs syndrome	7A80	Restless legs syndrome	NULL	NULL	1. full map by precoordination
6	G30.9	Alzheimer's disease, unspecified	8A20	Alzheimer disease	NULL	NULL	1. full map by precoordination
6	G40.909	Epilepsy, unspecified, not intractable, without status epilepticus	8A6Z	Epilepsy or seizures, unspecified	NULL		3. only partial map possible
6	G47.00	Insomnia, unspecified	7A0Z	Insomnia disorders, unspecified	NULL	NULL	1. full map by precoordination
6	G47.30	Sleep apnea, unspecified	7A41	Obstructive sleep apnoea	NULL		3. only partial map possible
6	G47.33	Obstructive sleep apnea (adult) (pediatric)	7A41	Obstructive sleep apnoea	NULL	NULL	1. full map by precoordination
6	G62.9	Polyneuropathy, unspecified	8C0Z	Polyneuropathy, unspecified	NULL	NULL	1. full map by precoordination
6	G89.29	Other chronic pain	MG30.Y	Other specified chronic pain	NULL	NULL	3. only partial map possible
6	G89.4	Chronic pain syndrome	MG30.0Z	Chronic primary pain, unspecified	NULL	NULL	3. only partial map possible
6	G92	Toxic encephalopathy	8D43.0Z	ncephalopathy due to toxicity, unspecified	NULL	NULL	1. full map by precoordination
6	G93.40	Encephalopathy, unspecified	8E47	Encephalopathy, not elsewhere classified	NULL	NULL	1. full map by precoordination
6	G93.41	Metabolic encephalopathy	8E47	Encephalopathy, not elsewhere classified	NULL	NULL	3. only partial map possible
7	H02.403	Unspecified ptosis of bilateral eyelids	9A03.0Z	Blepharoptosis, unspecified	9A03.0Z&XK9J	Blepharoptosis, unspecified & Bilateral	2. full map by postcoordination
7	H02.831	Dermatochalasis of right upper eyelid	9A03.5	Dermatochalasis of eyelid	9A03.5&XK9K	Dermatochalasis of eyelid & Right	3. only partial map possible
7	H02.834	Dermatochalasis of left upper eyelid	9A03.5	Dermatochalasis of eyelid	9A03.5&XK8G	Dermatochalasis of eyelid & Left	3. only partial map possible
7	H02.89	Other specified disorders of eyelid	9A06.Y	Other specified disorders of eyelid	NULL		3. only partial map possible
7	H04.123	Dry eye syndrome of bilateral lacrimal glands	9A79	Keratoconjunctivitis sicca	9A79&XK9J	Keratoconjunctivitis sicca & Bilateral	2. full map by postcoordination
7	H04.129	Dry eye syndrome of unspecified lacrimal gland	9A79	Keratoconjunctivitis sicca	NULL		1. full map by precoordination
7	H10.13	Acute atopic conjunctivitis, bilateral	9A60.01	Acute atopic conjunctivitis	9A60.01&XK9J	Acute atopic conjunctivitis & Bilateral	2. full map by postcoordination
7	H10.33	Unspecified acute conjunctivitis, bilateral	9A60.Z	Conjunctivitis, unspecified	9A60.Z&XK9J	Conjunctivitis, unspecified & Bilateral	3. only partial map possible
7	H10.9	Unspecified conjunctivitis	9A60.Z	Conjunctivitis, unspecified	NULL	NULL	1. full map by precoordination
7	H11.31	Conjunctival hemorrhage, right eye	9A61.5	Conjunctival or subconjunctival haemorrhage	9A61.5&XK9K	Conjunctival or subconjunctival haemorrhage & Right	3. only partial map possible
7	H11.32	Conjunctival hemorrhage, left eye	9A61.5	Conjunctival or subconjunctival haemorrhage	9A61.5&XK8G	Conjunctival or subconjunctival haemorrhage & Left	3. only partial map possible
7	H18.51	Endothelial corneal dystrophy	9A70.0	Endothelial corneal dystrophy	NULL	NULL	1. full map by precoordination
7	H25.013	Cortical age-related cataract, bilateral	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK9K	Other specified age-related cataract & Right	3. only partial map possible
7	H25.11	Age-related nuclear cataract, right eye	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK9K	Other specified age-related cataract & Right	3. only partial map possible
7	H25.12	Age-related nuclear cataract, left eye	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK8G	Other specified age-related cataract & Left	3. only partial map possible
7	H25.13	Age-related nuclear cataract, bilateral	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK9J	Other specified age-related cataract & Bilateral	3. only partial map possible
7	H25.811	Combined forms of age-related cataract, right eye	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK9K	Other specified age-related cataract & Right	3. only partial map possible
7	H25.812	Combined forms of age-related cataract, left eye	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK8G	Other specified age-related cataract & Left	3. only partial map possible
7	H25.813	Combined forms of age-related cataract, bilateral	9B10.0Y	Other specified age-related cataract	9B10.0Y&XK9J	Other specified age-related cataract & Bilateral	3. only partial map possible
7	H25.9	Unspecified age-related cataract	9B10.0Z	Age-related cataract, unspecified	NULL	NULL	1. full map by precoordination
7	H26.491	Other secondary cataract, right eye	9B10.22	After-cataract	9B10.22&XK9K	After-cataract & Right	3. only partial map possible
7	H26.492	Other secondary cataract, left eye	9B10.22	After-cataract	9B10.22&XK8G	After-cataract & Left	3. only partial map possible
7	H26.493	Other secondary cataract, bilateral	9B10.22	After-cataract	9B10.22&XK9J	After-cataract & Bilateral	3. only partial map possible
7	H26.8	Other specified cataract	9B10.2Y	Other specified cataracts	NULL	NULL	3. only partial map possible
7	H26.9	Unspecified cataract	9B10.Z	Cataract, unspecified	NULL	NULL	1. full map by precoordination
7	H35.30	Unspecified macular degeneration	9B78.3Z	Degeneration of macula or posterior pole, unspecified	NULL	NULL	3. only partial map possible
7	H35.3130	Nonexudative age-related macular degeneration, bilateral, stage unspecified	9B75.0Z	Age related macular degeneration, unspecified	9B75.0Z&XK9J	Age related macular degeneration, unspecified & Bilateral	3. only partial map possible
7	H35.371	Puckering of macula, right eye	9B78.3Y	Other specified degeneration of macula or posterior pole	9B78.3Y&XK9K	Other specified degeneration of macula or posterior pole & Right	3. only partial map possible
7	H35.372	Puckering of macula, left eye	9B78.3Y	Other specified degeneration of macula or posterior pole	9B78.3Y&XK8G	Other specified degeneration of macula or posterior pole & Left	3. only partial map possible
7	H35.373	Puckering of macula, bilateral	9B78.3Y	Other specified degeneration of macula or posterior pole	9B78.3Y&XK9J	Other specified degeneration of macula or posterior pole & Bilateral	3. only partial map possible
7	H40.003	Preglaucoma, unspecified, bilateral	9C60	Glaucoma suspect	9C60&XK9J	Glaucoma suspect & Bilateral	2. full map by postcoordination
7	H40.013	Open angle with borderline findings, low risk, bilateral	9C60	Glaucoma suspect	9C60&XK9J	Glaucoma suspect & Bilateral	3. only partial map possible
7	H40.053	Ocular hypertension, bilateral	9C61.01	Ocular hypertension	NULL	NULL	3. only partial map possible
7	H40.1131	Primary open-angle glaucoma, bilateral, mild stage	9C61.0Z	Primary open-angle glaucoma, unspecified	9C61.0Z&XK9J	Primary open-angle glaucoma, unspecified & Bilateral	3. only partial map possible
7	H40.1132	Primary open-angle glaucoma, bilateral, moderate stage	9C61.0Z	Primary open-angle glaucoma, unspecified	9C61.0Z&XK9J	Primary open-angle glaucoma, unspecified & Bilateral	3. only partial map possible
7	H40.1133	Primary open-angle glaucoma, bilateral, severe stage	9C61.0Z	Primary open-angle glaucoma, unspecified	9C61.0Z&XK9J	Primary open-angle glaucoma, unspecified & Bilateral	3. only partial map possible
7	H40.9	Unspecified glaucoma	9C61.Z	Glaucoma, unspecified	NULL	NULL	1. full map by precoordination
7	H43.811	Vitreous degeneration, right eye	9B8Y	Other specified disorders of the vitreous body	9B8Y&XK9K	Other specified disorders of the vitreous body & Right	3. only partial map possible
7	H43.813	Vitreous degeneration, bilateral	9B8Y	Other specified disorders of the vitreous body	9B8Y&XK9J	Other specified disorders of the vitreous body & Bilateral	3. only partial map possible
7	H52.03	Hypermetropia, bilateral	9D00.1	Hypermetropia	9D00.1&XK9J	Hypermetropia & Bilateral	2. full map by postcoordination
7	H52.13	Myopia, bilateral	9D00.0	Myopia	9D00.0&XK9J	Myopia & Bilateral	2. full map by postcoordination
7	H52.203	Unspecified astigmatism, bilateral	9D00.2	Astigmatism	9D00.2&XK9J	Astigmatism & Bilateral	2. full map by postcoordination
7	H52.223	Regular astigmatism, bilateral	9D00.2	Astigmatism	9D00.2&XK9J	Astigmatism & Bilateral	3. only partial map possible
7	H52.4	Presbyopia	9D00.3	Presbyopia	NULL	NULL	1. full map by precoordination
7	H52.7	Unspecified disorder of refraction	9D00.Z	Disorders of refraction, unspecified	NULL	NULL	1. full map by precoordination
7	H53.2	Diplopia	9D46	Impairment of binocular functions	NULL	NULL	3. only partial map possible
7	H53.8	Other visual disturbances	MC1Y	Other specified symptoms or signs involving the visual system	NULL	NULL	3. only partial map possible
7	H53.9	Unspecified visual disturbance	MC1Y	Other specified symptoms or signs involving the visual system	NULL	NULL	3. only partial map possible
7	H54.7	Unspecified visual loss	9D9Z	Vision impairment, unspecified	NULL		1. full map by precoordination
7	H54.8	Legal blindness, as defined in USA	9D90.3	Severe vision impairment	NULL	NULL	3. only partial map possible
7	H57.12	Ocular pain, left eye	MC18	Ocular pain	NULL	NULL	3. only partial map possible
8	H61.20	Impacted cerumen, unspecified ear	AA42	Impacted cerumen	AA42&XK70	Impacted cerumen & Unilateral, unspecified	2. full map by postcoordination
8	H61.21	Impacted cerumen, right ear	AA42	Impacted cerumen	AA42&XK9K	Impacted cerumen & Right	2. full map by postcoordination
8	H61.22	Impacted cerumen, left ear	AA42	Impacted cerumen	AA42&XK8G	Impacted cerumen & Left	2. full map by postcoordination
8	H61.23	Impacted cerumen, bilateral	AA42	Impacted cerumen	AA42&XK9J	Impacted cerumen & Bilateral	2. full map by postcoordination
8	H66.91	Otitis media, unspecified, right ear	AB0Z	Otitis media, unspecified	AB0Z&XK9K	Otitis media, unspecified & Right	2. full map by postcoordination
8	H66.92	Otitis media, unspecified, left ear	AB0Z	Otitis media, unspecified	AB0Z&XK8G	Otitis media, unspecified & Left	2. full map by postcoordination
8	H69.83	Other specified disorders of Eustachian tube, bilateral	AB10.Y	Other specified disorders of Eustachian tube	AB10.Z&XK9J	Other specified disorders of Eustachian tube & Bilateral	3. only partial map possible
8	H81.10	Benign paroxysmal vertigo, unspecified ear	AB31.2	Benign positional paroxysmal vertigo	NULL		1. full map by precoordination
8	H81.11	Benign paroxysmal vertigo, right ear	AB31.2	Benign positional paroxysmal vertigo	NULL	NULL	3. only partial map possible
8	H81.13	Benign paroxysmal vertigo, bilateral	AB31.2	Benign positional paroxysmal vertigo	NULL	NULL	3. only partial map possible
8	H90.3	Sensorineural hearing loss, bilateral	AB51.1	Acquired sensorineural hearing loss	AB51.1&XK9J	Acquired sensorineural hearing loss & Bilateral	3. only partial map possible
8	H90.5	Unspecified sensorineural hearing loss	AB51.1	Acquired sensorineural hearing loss	NULL		3. only partial map possible
