icd9cm;icd9_title;icd10cm;Maptype
65951;Elderly primigravida, delivered, with or without mention of antepartum condition;O09512;general equivalence mapping(medicare)
65951;Elderly primigravida, delivered, with or without mention of antepartum condition;O09513;general equivalence mapping(medicare)
64891;Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition;O252;general equivalence mapping(medicare)
64891;Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition;O99284;general equivalence mapping(medicare)
V270;Outcome of delivery, single liveborn;Z370;general equivalence mapping(medicare)
V270;Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident;Z370;general equivalence mapping(medicare)
V0251;Carrier or suspected carrier of group B streptococcus;Z22330;general equivalence mapping(medicare)
8020;Closed fracture of nasal bones;S022XXA;general equivalence mapping(medicare)
41071;Subendocardial infarction, initial episode of care;I214;general equivalence mapping(medicare)
5849;Acute kidney failure, unspecified;N179;general equivalence mapping(medicare)
7802;Syncope and collapse;R55;general equivalence mapping(medicare)
7847;Epistaxis;R040;general equivalence mapping(medicare)
41401;Coronary atherosclerosis of native coronary artery;I2510;general equivalence mapping(medicare)
28860;Leukocytosis, unspecified;D72829;general equivalence mapping(medicare)
79902;Hypoxemia;R0902;general equivalence mapping(medicare)
2724;Other and unspecified hyperlipidemia;E784;general equivalence mapping(medicare)
2724;Other and unspecified hyperlipidemia;E785;general equivalence mapping(medicare)
2720;Pure hypercholesterolemia;E780;general equivalence mapping(medicare)
412;Old myocardial infarction;I252;general equivalence mapping(medicare)
4241;Aortic valve disorders;I350;general equivalence mapping(medicare)
4241;Aortic valve disorders;I351;general equivalence mapping(medicare)
4241;Aortic valve disorders;I352;general equivalence mapping(medicare)
4241;Aortic valve disorders;I358;general equivalence mapping(medicare)
4241;Aortic valve disorders;I359;general equivalence mapping(medicare)
E8859;Fall from other slipping, tripping, or stumbling;W1849XA;general equivalence mapping(medicare)
E8499;Accidents occurring in unspecified place;Y929;general equivalence mapping(medicare)
4439;Peripheral vascular disease, unspecified;I739;general equivalence mapping(medicare)
V5863;Long-term (current) use of antiplatelet/antithrombotic;Z7902;general equivalence mapping(medicare)
5712;Alcoholic cirrhosis of liver;K7030;general equivalence mapping(medicare)
486;Pneumonia, organism unspecified;J189;general equivalence mapping(medicare)
5990;Urinary tract infection, site not specified;N390;general equivalence mapping(medicare)
2639;Unspecified protein-calorie malnutrition;E46;general equivalence mapping(medicare)
51189;Other specified forms of effusion, except tuberculous;J90;general equivalence mapping(medicare)
51189;Other specified forms of effusion, except tuberculous;J942;general equivalence mapping(medicare)
51189;Other specified forms of effusion, except tuberculous;J948;general equivalence mapping(medicare)
5711;Acute alcoholic hepatitis;K7010;general equivalence mapping(medicare)
2768;Hypopotassemia;E876;general equivalence mapping(medicare)
30391;Other and unspecified alcohol dependence, continuous;F1020;general equivalence mapping(medicare)
56409;Other constipation;K5909;general equivalence mapping(medicare)
2819;Unspecified deficiency anemia;D539;general equivalence mapping(medicare)
30000;Anxiety state, unspecified;F419;general equivalence mapping(medicare)
99591;Sepsis;A419;general equivalence mapping(medicare)
5119;Unspecified pleural effusion;J918;general equivalence mapping(medicare)
5710;Alcoholic fatty liver;K700;general equivalence mapping(medicare)
7242;Lumbago;M545;general equivalence mapping(medicare)
33829;Other chronic pain;G8929;general equivalence mapping(medicare)
29633;Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior;F332;general equivalence mapping(medicare)
29620;Major depressive affective disorder, single episode, unspecified;F329;general equivalence mapping(medicare)
30989;Other specified adjustment reactions;F438;general equivalence mapping(medicare)
463;Acute tonsillitis;J0390;general equivalence mapping(medicare)
78701;Nausea with vomiting;R112;general equivalence mapping(medicare)
7862;Cough;R05;general equivalence mapping(medicare)
78060;Fever, unspecified;R502;general equivalence mapping(medicare)
78060;Fever, unspecified;R509;general equivalence mapping(medicare)
27651;Dehydration;E860;general equivalence mapping(medicare)
7936;Nonspecific (abnormal) findings on radiological and other examination of abdominal area, including retroperitoneum;R935;general equivalence mapping(medicare)
79319;Other nonspecific abnormal finding of lung field;R918;general equivalence mapping(medicare)
311;Depressive disorder, not elsewhere classified;F329;general equivalence mapping(medicare)
2662;Other B-complex deficiencies;E538;general equivalence mapping(medicare)
7210;Cervical spondylosis without myelopathy;M47812;general equivalence mapping(medicare)
71590;Osteoarthrosis, unspecified whether generalized or localized, site unspecified;M159;general equivalence mapping(medicare)
71590;Osteoarthrosis, unspecified whether generalized or localized, site unspecified;M1990;general equivalence mapping(medicare)
V5864;Long-term (current) use of non-steroidal anti-inflammatories (NSAID);Z791;general equivalence mapping(medicare)
V453;Intestinal bypass or anastomosis status;Z980;general equivalence mapping(medicare)
V453;Unspecified car occupant injured in collision with railway train or railway vehicle in nontraffic accident;Z980;general equivalence mapping(medicare)
99832;Disruption of external operation (surgical) wound;T8131XA;general equivalence mapping(medicare)
E8788;Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation;Y838;general equivalence mapping(medicare)
1970;Secondary malignant neoplasm of lung;C7800;general equivalence mapping(medicare)
34830;Encephalopathy, unspecified;G9340;general equivalence mapping(medicare)
1977;Malignant neoplasm of liver, secondary;C787;general equivalence mapping(medicare)
1539;Malignant neoplasm of colon, unspecified site;C189;general equivalence mapping(medicare)
2762;Acidosis;E872;general equivalence mapping(medicare)
5780;Hematemesis;K920;general equivalence mapping(medicare)
2869;Other and unspecified coagulation defects;D688;general equivalence mapping(medicare)
2869;Other and unspecified coagulation defects;D689;general equivalence mapping(medicare)
27652;Hypovolemia;E861;general equivalence mapping(medicare)
72989;Other musculoskeletal symptoms referable to limbs;R29898;general equivalence mapping(medicare)
28529;Anemia of other chronic disease;D638;general equivalence mapping(medicare)
30029;Other isolated or specific phobias;F40218;general equivalence mapping(medicare)
30029;Other isolated or specific phobias;F40240;general equivalence mapping(medicare)
30029;Other isolated or specific phobias;F40241;general equivalence mapping(medicare)
30029;Other isolated or specific phobias;F408;general equivalence mapping(medicare)
78830;Urinary incontinence, unspecified;R32;general equivalence mapping(medicare)
V8801;Acquired absence of both cervix and uterus;Z90710;general equivalence mapping(medicare)
V4572;Acquired absence of intestine (large) (small);Z9049;general equivalence mapping(medicare)
V160;Family history of malignant neoplasm of gastrointestinal tract;Z800;general equivalence mapping(medicare)
V160;Pedal cycle driver injured in collision with other nonmotor vehicle in nontraffic accident;Z800;general equivalence mapping(medicare)
V8543;Body Mass Index 50.0-59.9, adult;Z6843;general equivalence mapping(medicare)
1991;Other malignant neoplasm without specification of site;C801;general equivalence mapping(medicare)
7837;Adult failure to thrive;R627;general equivalence mapping(medicare)
78906;Abdominal pain, epigastric;R1013;general equivalence mapping(medicare)
7830;Anorexia;R630;general equivalence mapping(medicare)
78321;Loss of weight;R634;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85020;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85030;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85040;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85060;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85110;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85230;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85520;general equivalence mapping(medicare)
V1091;Personal history of malignant neuroendocrine tumor;Z85821;general equivalence mapping(medicare)
56400;Constipation, unspecified;K5900;general equivalence mapping(medicare)
7823;Edema;R600;general equivalence mapping(medicare)
7823;Edema;R601;general equivalence mapping(medicare)
7823;Edema;R609;general equivalence mapping(medicare)
V4576;Acquired absence of organ, lung;Z902;general equivalence mapping(medicare)
78052;Insomnia, unspecified;G4700;general equivalence mapping(medicare)
56081;Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection);K565;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;D7811;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;D7812;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;E3611;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;E3612;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;G9748;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;G9749;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;H59219;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;H59229;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;H9531;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;H9532;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;I9751;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;I9752;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;J9571;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;J9572;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;K9171;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;K9172;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;L7611;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;L7612;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;M96820;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;M96821;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;N9971;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;N9972;general equivalence mapping(medicare)
9982;Accidental puncture or laceration during a procedure, not elsewhere classified;T888XXA;general equivalence mapping(medicare)
7885;Oliguria and anuria;R34;general equivalence mapping(medicare)
27801;Morbid obesity;E6601;general equivalence mapping(medicare)
E8782;Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation;Y832;general equivalence mapping(medicare)
V1011;Personal history of malignant neoplasm of bronchus and lung;Z85118;general equivalence mapping(medicare)
42823;Acute on chronic systolic heart failure;I5023;general equivalence mapping(medicare)
5854;Chronic kidney disease, Stage IV (severe);N184;general equivalence mapping(medicare)
28521;Anemia in chronic kidney disease;D631;general equivalence mapping(medicare)
27800;Obesity, unspecified;E669;general equivalence mapping(medicare)
40390;Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified;I129;general equivalence mapping(medicare)
4280;Congestive heart failure, unspecified;I509;general equivalence mapping(medicare)
V4582;Percutaneous transluminal coronary angioplasty status;Z9861;general equivalence mapping(medicare)
V1254;Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits;Z8673;general equivalence mapping(medicare)
V1581;Personal history of noncompliance with medical treatment, presenting hazards to health;Z9119;general equivalence mapping(medicare)
V5866;Long-term (current) use of aspirin;Z7982;general equivalence mapping(medicare)
44021;Atherosclerosis of native arteries of the extremities with intermittent claudication;I70219;general equivalence mapping(medicare)
V5867;Long-term (current) use of insulin;Z794;general equivalence mapping(medicare)
4139;Other and unspecified angina pectoris;I208;general equivalence mapping(medicare)
4139;Other and unspecified angina pectoris;I209;general equivalence mapping(medicare)
V8532;Body Mass Index 32.0-32.9, adult;Z6832;general equivalence mapping(medicare)
53081;Esophageal reflux;K219;general equivalence mapping(medicare)
45342;Acute venous embolism and thrombosis of deep vessels of distal lower extremity;I82449;general equivalence mapping(medicare)
45342;Acute venous embolism and thrombosis of deep vessels of distal lower extremity;I82499;general equivalence mapping(medicare)
45342;Acute venous embolism and thrombosis of deep vessels of distal lower extremity;I824Z9;general equivalence mapping(medicare)
53551;Unspecified gastritis and gastroduodenitis, with hemorrhage;K2971;general equivalence mapping(medicare)
53551;Unspecified gastritis and gastroduodenitis, with hemorrhage;K2991;general equivalence mapping(medicare)
25040;Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled;E1129;general equivalence mapping(medicare)
3572;Polyneuropathy in diabetes;E0842;general equivalence mapping(medicare)
3572;Polyneuropathy in diabetes;E0942;general equivalence mapping(medicare)
3572;Polyneuropathy in diabetes;E1042;general equivalence mapping(medicare)
3572;Polyneuropathy in diabetes;E1142;general equivalence mapping(medicare)
3572;Polyneuropathy in diabetes;E1342;general equivalence mapping(medicare)
42832;Chronic diastolic heart failure;I5032;general equivalence mapping(medicare)
28749;Other secondary thrombocytopenia;D6959;general equivalence mapping(medicare)
2851;Acute posthemorrhagic anemia;D62;general equivalence mapping(medicare)
53561;Duodenitis, with hemorrhage;K2981;general equivalence mapping(medicare)
9992;Other vascular complications of medical care, not elsewhere classified;T801XXA;general equivalence mapping(medicare)
V5861;Long-term (current) use of anticoagulants;Z7901;general equivalence mapping(medicare)
25060;Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled;E1140;general equivalence mapping(medicare)
58381;Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere;N08;general equivalence mapping(medicare)
V8522;Body Mass Index 26.0-26.9, adult;Z6826;general equivalence mapping(medicare)
72992;Nontraumatic hematoma of soft tissue;M7981;general equivalence mapping(medicare)
E9342;Anticoagulants causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9342;Anticoagulants causing adverse effects in therapeutic use;T51.93XA;manual matching
79092;Abnormal coagulation profile;R791;general equivalence mapping(medicare)
45182;Phlebitis and thrombophlebitis of superficial veins of upper extremities;I808;general equivalence mapping(medicare)
E8497;Accidents occurring in residential institution;Y92199;general equivalence mapping(medicare)
41412;Dissection of coronary artery;I2542;general equivalence mapping(medicare)
4240;Mitral valve disorders;I340;general equivalence mapping(medicare)
4240;Mitral valve disorders;I348;general equivalence mapping(medicare)
5303;Stricture and stenosis of esophagus;K222;general equivalence mapping(medicare)
V0481;Need for prophylactic vaccination and inoculation against influenza;Z23;general equivalence mapping(medicare)
42833;Acute on chronic diastolic heart failure;I5033;general equivalence mapping(medicare)
41189;Other acute and subacute forms of ischemic heart disease, other;I248;general equivalence mapping(medicare)
5853;Chronic kidney disease, Stage III (moderate);N183;general equivalence mapping(medicare)
4829;Bacterial pneumonia, unspecified;J159;general equivalence mapping(medicare)
79311;Solitary pulmonary nodule;R911;general equivalence mapping(medicare)
34982;Toxic encephalopathy;G92;general equivalence mapping(medicare)
7904;Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH];R740;general equivalence mapping(medicare)
5559;Regional enteritis of unspecified site;K5090;general equivalence mapping(medicare)
1123;Candidiasis of skin and nails;B372;general equivalence mapping(medicare)
73399;Other disorders of bone and cartilage;M8930;general equivalence mapping(medicare)
73399;Other disorders of bone and cartilage;M898X9;general equivalence mapping(medicare)
73399;Other disorders of bone and cartilage;M948X9;general equivalence mapping(medicare)
V153;Personal history of irradiation, presenting hazards to health;Z923;general equivalence mapping(medicare)
V153;Person boarding or alighting a pedal cycle injured in collision with railway train or railway vehicle;Z923;general equivalence mapping(medicare)
V8741;Personal history of antineoplastic chemotherapy;Z9221;general equivalence mapping(medicare)
V1085;Personal history of malignant neoplasm of brain;Z85841;general equivalence mapping(medicare)
73819;Other specified acquired deformity of head;M952;general equivalence mapping(medicare)
V5841;Encounter for planned post-operative wound closure;Z481;general equivalence mapping(medicare)
34590;Epilepsy, unspecified, without mention of intractable epilepsy;G40901;general equivalence mapping(medicare)
34590;Epilepsy, unspecified, without mention of intractable epilepsy;G40909;general equivalence mapping(medicare)
6989;Unspecified pruritic disorder;L299;general equivalence mapping(medicare)
3240;Intracranial abscess;G060;general equivalence mapping(medicare)
3484;Compression of brain;G935;general equivalence mapping(medicare)
3485;Cerebral edema;G936;general equivalence mapping(medicare)
5180;Pulmonary collapse;J9811;general equivalence mapping(medicare)
5180;Pulmonary collapse;J9819;general equivalence mapping(medicare)
340;Multiple sclerosis;G35;general equivalence mapping(medicare)
04109;Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus;B954;general equivalence mapping(medicare)
V168;Family history of other specified malignant neoplasm;Z808;general equivalence mapping(medicare)
V161;Family history of malignant neoplasm of trachea, bronchus, and lung;Z801;general equivalence mapping(medicare)
V161;Pedal cycle passenger injured in collision with other nonmotor vehicle in nontraffic accident;Z801;general equivalence mapping(medicare)
04102;Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B;B951;general equivalence mapping(medicare)
04184;Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes;B9689;general equivalence mapping(medicare)
650;Normal delivery;O80;general equivalence mapping(medicare)
56211;Diverticulitis of colon (without mention of hemorrhage);K5732;general equivalence mapping(medicare)
5695;Abscess of intestine;K630;general equivalence mapping(medicare)
99859;Other postoperative infection;K6811;general equivalence mapping(medicare)
99859;Other postoperative infection;T814XXA;general equivalence mapping(medicare)
6822;Cellulitis and abscess of trunk;L03319;general equivalence mapping(medicare)
6822;Cellulitis and abscess of trunk;L03329;general equivalence mapping(medicare)
04111;Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site;B9561;general equivalence mapping(medicare)
E8786;Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation;Y836;general equivalence mapping(medicare)
56989;Other specified disorders of intestine;K634;general equivalence mapping(medicare)
56989;Other specified disorders of intestine;K6389;general equivalence mapping(medicare)
56982;Ulceration of intestine;K633;general equivalence mapping(medicare)
6202;Other and unspecified ovarian cyst;N8320;general equivalence mapping(medicare)
6202;Other and unspecified ovarian cyst;N8329;general equivalence mapping(medicare)
56210;Diverticulosis of colon (without mention of hemorrhage);K5730;general equivalence mapping(medicare)
V5849;Other specified aftercare following surgery;Z4803;general equivalence mapping(medicare)
V5849;Other specified aftercare following surgery;Z4889;general equivalence mapping(medicare)
78650;Chest pain, unspecified;R079;general equivalence mapping(medicare)
4580;Orthostatic hypotension;I951;general equivalence mapping(medicare)
65811;Premature rupture of membranes, delivered, with or without mention of antepartum condition;O4200;general equivalence mapping(medicare)
65811;Premature rupture of membranes, delivered, with or without mention of antepartum condition;O42011;general equivalence mapping(medicare)
65811;Premature rupture of membranes, delivered, with or without mention of antepartum condition;O42012;general equivalence mapping(medicare)
65811;Premature rupture of membranes, delivered, with or without mention of antepartum condition;O42013;general equivalence mapping(medicare)
65811;Premature rupture of membranes, delivered, with or without mention of antepartum condition;O4202;general equivalence mapping(medicare)
64811;Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition;O99281;general equivalence mapping(medicare)
64811;Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition;O99282;general equivalence mapping(medicare)
64811;Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition;O99283;general equivalence mapping(medicare)
64811;Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition;O99284;general equivalence mapping(medicare)
2449;Unspecified acquired hypothyroidism;E039;general equivalence mapping(medicare)
65411;Tumors of body of uterus, delivered, with or without mention of antepartum condition;O3411;general equivalence mapping(medicare)
65411;Tumors of body of uterus, delivered, with or without mention of antepartum condition;O3412;general equivalence mapping(medicare)
65411;Tumors of body of uterus, delivered, with or without mention of antepartum condition;O3413;general equivalence mapping(medicare)
2189;Leiomyoma of uterus, unspecified;D259;general equivalence mapping(medicare)
7245;Backache, unspecified;M5489;general equivalence mapping(medicare)
7245;Backache, unspecified;M549;general equivalence mapping(medicare)
V8381;Cystic fibrosis gene carrier;Z141;general equivalence mapping(medicare)
42983;Takotsubo syndrome;I5181;general equivalence mapping(medicare)
34680;Other forms of migraine, without mention of intractable migraine without mention of status migrainosus;G43809;general equivalence mapping(medicare)
7961;Abnormal reflex;R292;general equivalence mapping(medicare)
78829;Other specified retention of urine;R338;general equivalence mapping(medicare)
9950;Other anaphylactic reaction;T782XXA;general equivalence mapping(medicare)
6185;Prolapse of vaginal vault after hysterectomy;N993;general equivalence mapping(medicare)
49390;Asthma, unspecified type, unspecified;J45909;general equivalence mapping(medicare)
49390;Asthma, unspecified type, unspecified;J45998;general equivalence mapping(medicare)
7291;Myalgia and myositis, unspecified;M609;general equivalence mapping(medicare)
7291;Myalgia and myositis, unspecified;M791;general equivalence mapping(medicare)
7291;Myalgia and myositis, unspecified;M797;general equivalence mapping(medicare)
5641;Irritable bowel syndrome;K589;general equivalence mapping(medicare)
6186;Vaginal enterocele, congenital or acquired;N815;general equivalence mapping(medicare)
V1041;Personal history of malignant neoplasm of cervix uteri;Z8541;general equivalence mapping(medicare)
31401;Attention deficit disorder with hyperactivity;F900;general equivalence mapping(medicare)
31401;Attention deficit disorder with hyperactivity;F901;general equivalence mapping(medicare)
31401;Attention deficit disorder with hyperactivity;F902;general equivalence mapping(medicare)
31401;Attention deficit disorder with hyperactivity;F909;general equivalence mapping(medicare)
4571;Other lymphedema;I890;general equivalence mapping(medicare)
3331;Essential and other specified forms of tremor;G250;general equivalence mapping(medicare)
3331;Essential and other specified forms of tremor;G251;general equivalence mapping(medicare)
3331;Essential and other specified forms of tremor;G252;general equivalence mapping(medicare)
E9352;Other opiates and related narcotics causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9352;Other opiates and related narcotics causing adverse effects in therapeutic use;T51.93XA;manual matching
80503;Closed fracture of third cervical vertebra;S12200A;general equivalence mapping(medicare)
80503;Closed fracture of third cervical vertebra;S12201A;general equivalence mapping(medicare)
8730;Open wound of scalp, without mention of complication;S0100XA;general equivalence mapping(medicare)
E8846;Accidental fall from commode;W1811XA;general equivalence mapping(medicare)
42731;Atrial fibrillation;I4891;general equivalence mapping(medicare)
V0382;Other specified vaccinations against streptococcus pneumoniae [pneumococcus];Z23;general equivalence mapping(medicare)
V1005;Personal history of malignant neoplasm of large intestine;Z85038;general equivalence mapping(medicare)
V1046;Personal history of malignant neoplasm of prostate;Z8546;general equivalence mapping(medicare)
V1588;History of fall;Z9181;general equivalence mapping(medicare)
7812;Abnormality of gait;R260;general equivalence mapping(medicare)
7812;Abnormality of gait;R261;general equivalence mapping(medicare)
7812;Abnormality of gait;R2689;general equivalence mapping(medicare)
7812;Abnormality of gait;R269;general equivalence mapping(medicare)
V6406;Vaccination not carried out because of patient refusal;Z2821;general equivalence mapping(medicare)
2252;Benign neoplasm of cerebral meninges;D320;general equivalence mapping(medicare)
2252;Benign neoplasm of cerebral meninges;D329;general equivalence mapping(medicare)
43411;Cerebral embolism with cerebral infarction;I6340;general equivalence mapping(medicare)
4263;Other left bundle branch block;I447;general equivalence mapping(medicare)
78659;Other chest pain;R0782;general equivalence mapping(medicare)
78659;Other chest pain;R0789;general equivalence mapping(medicare)
49320;Chronic obstructive asthma, unspecified;J449;general equivalence mapping(medicare)
E9457;Antiasthmatics causing adverse effects in therapeutic use;NoDx;general equivalence mapping(medicare)
E9457;Antiasthmatics causing adverse effects in therapeutic use;T51.98XA;manual matching
V4364;Hip joint replacement;Z96649;general equivalence mapping(medicare)
V4364;Car passenger injured in collision with van in traffic accident;Z96649;general equivalence mapping(medicare)
7850;Tachycardia, unspecified;R000;general equivalence mapping(medicare)
4871;Influenza with other respiratory manifestations;J101;general equivalence mapping(medicare)
4871;Influenza with other respiratory manifestations;J111;general equivalence mapping(medicare)
49322;Chronic obstructive asthma with (acute) exacerbation;J441;general equivalence mapping(medicare)
49122;Obstructive chronic bronchitis with acute bronchitis;J440;general equivalence mapping(medicare)
49392;Asthma, unspecified type, with (acute) exacerbation;J45901;general equivalence mapping(medicare)
42732;Atrial flutter;I4892;general equivalence mapping(medicare)
78652;Painful respiration;R071;general equivalence mapping(medicare)
78652;Painful respiration;R0781;general equivalence mapping(medicare)
37993;Redness or discharge of eye;H578;general equivalence mapping(medicare)
71530;Osteoarthrosis, localized, not specified whether primary or secondary, site unspecified;M1990;general equivalence mapping(medicare)
V6284;Suicidal ideation;R45851;general equivalence mapping(medicare)
99672;Other complications due to other cardiac device, implant, and graft;T82817A;general equivalence mapping(medicare)
